,AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,GBA,GBD,GBH,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Referee,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH
0,6,14,0,14,7,2,Wigan,5.5,3.6,1.67,5.5,3.5,1.62,5.0,3.4,1.65,37,21,0.0,1.81,1.92,5.33,3.99,1.22,3.51,1.66,1.91,2.04,6.05,4.4,1.28,3.77,1.72,32,2009-08-15,E0,2,0,A,5.25,3.5,1.67,4,15,0,11,5,1,0,A,2,Aston Villa,4.9,3.5,1.7,4.5,3.3,1.67,M Clattenburg,5.0,3.4,1.65,5.5,3.6,1.67,5.0,3.4,1.7,5.5,3.4,1.7
1,4,9,0,8,5,1,Man City,2.1,3.25,3.6,2.2,3.2,3.3,2.0,3.15,3.4,38,24,0.0,1.71,2.04,2.12,1.54,2.38,3.24,3.37,1.78,2.15,2.25,1.6,2.58,3.35,3.78,33,2009-08-15,E0,2,0,A,2.1,3.25,3.4,5,12,0,17,9,1,0,A,2,Blackburn,2.2,3.2,3.2,2.1,3.2,3.0,M Dean,2.1,3.25,3.15,2.2,3.25,3.3,2.2,3.2,3.25,2.15,3.2,3.5
2,7,10,0,20,13,1,Sunderland,3.25,3.25,2.25,3.3,3.2,2.2,3.15,3.15,2.15,38,23,0.0,1.66,2.12,3.15,2.23,1.61,3.2,2.24,1.7,2.25,3.4,2.33,1.68,3.31,2.37,33,2009-08-15,E0,1,0,A,3.1,3.25,2.25,4,16,0,11,3,1,0,A,2,Bolton,3.2,3.2,2.2,3.0,3.2,2.1,A Marriner,2.9,3.2,2.25,3.1,3.25,2.3,3.1,3.2,2.25,3.2,3.2,2.3
3,4,15,0,7,3,2,Hull,21.0,6.5,1.17,19.0,5.5,1.2,13.0,6.0,1.17,38,22,0.0,2.26,1.58,16.39,12.96,1.02,6.26,1.17,2.44,1.67,23.14,17.05,1.03,7.71,1.2,34,2009-08-15,E0,1,2,H,15.0,6.0,1.2,12,13,0,26,12,1,1,D,1,Chelsea,14.0,5.5,1.2,12.0,5.5,1.17,A Wiley,15.0,5.75,1.17,17.0,6.5,1.18,17.0,6.0,1.17,21.0,6.5,1.17
4,9,13,0,15,9,0,Arsenal,2.3,3.25,3.2,2.2,3.2,3.25,2.25,3.15,2.95,38,24,0.0,1.7,2.06,2.28,1.63,2.2,3.21,3.07,1.77,2.2,2.42,1.73,2.27,3.34,3.34,34,2009-08-15,E0,6,1,A,2.3,3.25,3.0,4,11,0,8,5,3,0,A,0,Everton,2.3,3.1,3.1,2.25,3.0,2.88,M Halsey,2.2,3.2,3.0,2.25,3.25,3.25,2.3,3.3,2.9,2.3,3.2,3.2
5,4,18,0,9,3,2,Fulham,2.75,3.2,2.63,2.75,3.2,2.5,2.85,3.15,2.3,38,23,0.0,1.65,2.12,2.73,1.95,1.83,3.18,2.53,1.7,2.28,2.9,2.05,1.98,3.25,2.81,33,2009-08-15,E0,1,0,A,2.6,3.25,2.6,6,11,0,16,4,1,0,A,3,Portsmouth,2.7,3.2,2.5,2.6,3.2,2.38,M Atkinson,2.7,3.2,2.4,2.7,3.2,2.63,2.62,3.2,2.62,2.6,3.2,2.75
6,6,10,0,9,5,2,Burnley,4.33,3.3,1.91,4.0,3.3,1.91,4.0,3.2,1.85,38,22,0.0,1.67,2.1,4.02,2.85,1.39,3.29,1.91,1.71,2.25,4.36,3.05,1.45,3.47,2.0,33,2009-08-15,E0,0,2,H,4.0,3.3,1.9,3,15,0,12,5,0,2,H,2,Stoke,3.9,3.3,1.9,3.5,3.2,1.91,S Bennett,3.75,3.25,1.9,4.33,3.25,1.91,4.0,3.25,1.9,4.0,3.2,2.0
7,6,5,0,16,13,0,West Ham,2.7,3.3,2.63,2.7,3.25,2.5,2.55,3.15,2.55,38,22,0.0,1.72,2.03,2.68,1.92,1.85,3.19,2.57,1.8,2.16,2.87,2.0,1.95,3.3,2.78,33,2009-08-15,E0,2,0,A,2.75,3.2,2.5,8,9,0,19,11,1,0,A,0,Wolves,2.55,3.3,2.55,2.6,3.2,2.38,C Foy,2.6,3.2,2.5,2.75,3.2,2.6,2.62,3.25,2.5,2.7,3.2,2.62
8,2,7,0,6,4,1,Birmingham,17.0,6.0,1.2,19.0,5.5,1.2,12.0,5.5,1.2,38,20,0.0,2.18,1.62,14.99,11.42,1.02,5.91,1.19,2.35,1.69,21.0,15.0,1.04,6.62,1.23,33,2009-08-16,E0,0,1,H,15.0,6.0,1.2,13,13,0,26,17,0,1,H,1,Man United,12.0,5.7,1.2,12.0,5.5,1.17,L Mason,13.0,5.5,1.18,17.0,6.0,1.2,17.0,6.0,1.17,19.0,5.5,1.2
9,5,16,0,6,3,3,Liverpool,2.3,3.25,3.2,2.2,3.2,3.2,2.1,3.15,3.25,36,21,0.0,1.79,1.95,2.23,1.61,2.24,3.22,3.13,1.85,2.07,2.39,1.73,2.38,3.4,3.31,31,2009-08-16,E0,1,2,H,2.25,3.2,3.1,6,14,0,17,11,0,1,H,3,Tottenham,2.3,3.1,3.1,2.1,3.2,3.0,P Dowd,2.2,3.2,3.0,2.2,3.25,3.0,2.25,3.25,3.0,2.3,3.2,3.2
