Team,INDGOL
Chelsea,0.4166666666666667
Arsenal,0.385
Man City,0.3686635944700461
Crystal Palace,0.36231884057971014
West Brom,0.34959349593495936
Bournemouth,0.34375
West Ham,0.34057971014492755
Tottenham,0.3346303501945525
Leicester,0.3310344827586207
Liverpool,0.3305084745762712
Burnley,0.325
Everton,0.3229166666666667
Swansea,0.3082191780821918
Stoke,0.29927007299270075
Hull,0.29133858267716534
Watford,0.2777777777777778
Middlesbrough,0.27
Man United,0.2571428571428571
Sunderland,0.2396694214876033
Southampton,0.22905027932960895
