Team,HST,FTHG,AST,FTAG,INDGOL
Man United,184,49,126,29,0.25161290322580643
Blackburn,104,22,87,24,0.24083769633507854
Birmingham,77,19,78,18,0.23870967741935484
Blackpool,134,30,101,25,0.23404255319148937
Stoke,131,31,73,15,0.22549019607843138
Wolves,117,30,90,16,0.2222222222222222
Newcastle,155,41,97,15,0.2222222222222222
Liverpool,145,37,123,22,0.22014925373134328
Man City,151,34,125,26,0.21739130434782608
Arsenal,186,33,156,39,0.21052631578947367
Chelsea,174,39,170,30,0.2005813953488372
Aston Villa,125,26,116,22,0.1991701244813278
Fulham,141,30,109,19,0.196
Sunderland,128,25,102,20,0.1956521739130435
West Brom,164,30,123,26,0.1951219512195122
Bolton,164,34,111,18,0.1890909090909091
Everton,159,31,127,20,0.17832167832167833
West Ham,139,24,107,19,0.17479674796747968
Tottenham,191,30,130,25,0.17133956386292834
Wigan,141,22,112,18,0.15810276679841898
